Network,Address,Name,Solidity Version,Txcount,Create Date
mainnet,0x6c97a35d7c57c48463281a5ec9620a4613be62bf,ERC20RootVaultGovernance,0.8.9,14,12/18/2022
mainnet,0xfe3c12d746a4b1bc2952bff2e5eb6c9e91f68e5a,DssSpell,0.6.12,3,8/06/2021
mainnet,0xe6313d1776e4043d906d5b7221be70cf470f5e87,Indelible,0.8.14,275,1/26/2023
mainnet,0xefab1d4e5b8177c80cce30c7feb2b5f23bfc465a,LiabilityFactory,v0.4.24,2,10/10/2018
mainnet,0xe246c4ba65d95c2f902e39fbeb0047a67ab4f25a,DssSpell,0.6.12,3,1/22/2022
mainnet,0x10fd9348136dcea154f752fe0b6db45fc298a589,OrgFundFactory,0.8.13,1430,11/08/2022
mainnet,0xd161bdff491790d5e02b487f2346feb07b3e7054,DssSpell,0.6.12,1,5/22/2021
mainnet,0x92de1ba0c5f12e8b56597ff11b3be959517b1cd6,PerpetualFutures,0.8.16,1786,9/29/2022
mainnet,0x0cfae39054263b9269b89568b802a69c99e67bb7,StakeUniswapV3Factory,0.7.6,1,8/09/2021
mainnet,0xdef92e784abf24bf319e21d505be6406b500c8a1,TwoFiveSixFactory,0.8.9,9,5/17/2022
mainnet,0xc37bc0dfd7d2594858e9d64c25d425e048965eec,TinlakeSpell,0.7.6,1,3/11/2023
mainnet,0xd84deb4c8fa64469eef1cd6d1fd5705478bbfe33,BalancerTripodCloner,0.8.12,1,12/19/2022
mainnet,0x6febea3673adf3925a01a61e46924b5b67a69ec3,DssSpell,0.6.12,3,5/18/2022
mainnet,0x7cb5abeb0de8f6f46a27329b9ef54ce10e47f1e2,ReleaseRegistry,0.8.17,10,12/19/2022
mainnet,0xf2bf5b5dfcaf8f22306d786f6b18ffc9d91c7641,DssSpell,0.6.12,3,11/09/2022
mainnet,0x1a3e7728aa4a8d2a29c0e28c275fdcdbbd1f95f4,MSFactory,0.8.12,7,1/26/2023
mainnet,0xd59dc0e7570b82a113aa005552806c70368ed223,PerpetualFutures,0.8.16,31,9/29/2022
mainnet,0xec8c22b174628b36a3291fa558138164d2a31171,StreetlabRestrictedERC721AFactory,0.8.15,10,8/22/2022
mainnet,0x4ebc68a45645976763987c7f969a8eac2281d035,StreetlabERC721AFactory,0.8.15,3,8/22/2022
mainnet,0x408c9764993209dc772eb12ff641f4b55f5b005c,InitializableImmutableAdminUpgradeabilityProxy,0.6.12,114,9/20/2022
mainnet,0xdb6df092281718be78f41e7fea328499dc6088d4,Strategy,0.6.12,1,5/24/2021
mainnet,0x1ecb60873e495ddfa2a13a8f4140e490dd574e6f,SpankBank,v0.4.24,5483,9/05/2018
mainnet,0x57aa7ded5187c423ad8b3bd5c91f2211cd97b2a3,Alligator,0.8.19,12,3/11/2023
mainnet,0x54f04010fcfcfc95ec8fd19fe4cf57adfbbb6136,PTokenFactory,0.7.6,3,5/24/2021
mainnet,0x078e43b73c60c8777ccd5cf96e88695dce26d90a,DSProxyFactory,0.4.26,1,5/24/2021
mainnet,0x6bbe6ded0b36974771673d4ae3faaeb38c08fcb3,ERC20RootVaultGovernance,0.8.9,9,11/10/2022
mainnet,0x3381caeaa980f78aa1895f98e645e35cbdd4c593,DssSpell,0.6.12,3,11/05/2021
mainnet,0x4eb699839f3990d3de2f6cdc078f48521dc70d6a,Vault,0.7.1,4,12/20/2022
mainnet,0x5e39a5d846dfda5c66538ce9ed6043e42089eb0a,Factory,v0.4.11,9,7/09/2017
mainnet,0x3659e8daa4bab9a263b3e43ec63c068dfbc1246f,Factory,v0.4.11,11,7/09/2017
mainnet,0x877288c4e6eba4f635ba7428706447353b47de75,StashFactory,0.6.12,1,5/24/2021
mainnet,0x1d07f15ab8c3c015c7b312759ddd858b0f1d8e72,DssSpell,0.8.16,3,3/11/2023
mainnet,0x2c544275203b0db7550887067507ce2befcea893,Factory,v0.4.11,8,7/04/2017
mainnet,0x5aad8436ec6320e846084aa4e6e6231387e8950a,Factory,v0.4.11,3,7/04/2017
mainnet,0x40cdba18bfbc525a6cf35251e7d90a9b5b66ce30,DssSpell,0.8.16,3,1/27/2023
mainnet,0x5d2d6a91c8b5fb62f2a6725eb791f412a5d39c4d,GovernQueueFactory,0.6.8,1,8/11/2021
mainnet,0x48b9bf0aa0f952c5d3637e4c550efc194532a0be,HumanCrowdsale,0.8.13,1110,11/10/2022
mainnet,0xd5b9e02fbc12fe0c5f67205545deece6ee3d0352,EraxProxyRegistry,0.7.6,15,5/25/2021
mainnet,0xf40d5402a35b181f440c6c3b7729398caf807cae,StashFactory,0.6.12,1,8/11/2021
mainnet,0x0f5d4cf379902655f2f4cd1b594cd61818892cc1,DssSpell,0.6.12,3,1/25/2022
mainnet,0x63b730ef5364df9f006e86b156ac97cdef044780,DssSpell,0.6.12,3,3/25/2022
mainnet,0x28239ba20bb458cb050d0cbf541315b1b9adb935,HookERC721VaultFactory,0.8.10,1,8/23/2022
mainnet,0x60ba8afcbc08255813e97433d2d98312b2d09c97,IssuedTokenFactory,v0.4.4,18,6/05/2017
mainnet,0x2be5d85f97c490e7ed7396d79fe194ab922d16ee,WitnetRandomness,0.8.11,1,1/15/2022
mainnet,0x8deec50d7d92911c40574700f7a51ee5130857ee,MadworldRegistry,0.7.5,9,7/08/2022
mainnet,0x16c299c3fb950cdea730ca6c456adce44cbed350,RwaTokenFactory,0.6.12,3,7/09/2022
mainnet,0x59e8d82750c6f56be0001aa4d3ec44c96eb65206,WrappedInFlashLoan,0.8.7,6,8/23/2022
mainnet,0x40ea6e14800f6040d25a9a5a1e9cc0f5cb6d1066,LendingPoolAddressesProvider,0.8.10,34,12/02/2022
